Nurse_ID,Name,Age,Gender,Experience_Years,Specialization,Hospital,Shift,Contact,Email,Location,Available
NUR0001,Alexander Martin,32,Female,5,Post Pregnancy,"Thomas, Carrillo and Novak Hospital",Rotational,984-535-0406,donnamurphy@example.org,Kolkata,Available
NUR0002,Ryan Adkins,58,Female,21,Check Up,Kim LLC Hospital,Rotational,473-943-6775,andreastephens@example.net,Chennai,Available
NUR0003,Allen Valdez,25,Male,25,Check Up,Phillips-Reyes Hospital,Night,690.324.6297x0319,lacey82@example.org,Chennai,Not Available
NUR0004,David Baker,58,Male,29,Check Up,Gonzalez-Gallegos Hospital,Day,861-724-9416,dreyes@example.net,Delhi,Available
NUR0005,Judy Garcia,54,Male,12,Post Pregnancy,Ford-Espinoza Hospital,Night,486.210.0699,austinalexandria@example.com,Delhi,Available
NUR0006,Jamie Everett,46,Male,5,Elderly Care,Smith-Jones Hospital,Night,525-856-4427x5387,castillobrian@example.org,Kolkata,Not Available
NUR0007,Lauren Marquez,34,Male,26,Post Surgery,Hanson-Wolfe Hospital,Rotational,(388)485-7051,taylorzhang@example.com,Mumbai,Not Available
NUR0008,Jill Hernandez,55,Male,23,Pregnancy,Fields-Phillips Hospital,Rotational,(811)573-2345,jacqueline51@example.net,Chennai,Not Available
NUR0009,Tonya Morales,51,Female,15,Pregnancy,Evans-Bentley Hospital,Night,372.320.5684,kellerkatelyn@example.com,Mumbai,Not Available
NUR0010,Terry Smith,36,Male,16,Pediatric Care,Larson-Page Hospital,Day,(409)717-1147x60420,patricia14@example.net,Kolkata,Not Available
NUR0011,James Ayala,43,Female,29,Pregnancy,Douglas-Forbes Hospital,Night,+1-926-528-2520x281,barryjones@example.org,Mumbai,Available
NUR0012,Christopher Shaffer,43,Female,31,Elderly Care,Martinez-Rojas Hospital,Night,3893655551,deleontracy@example.net,Chennai,Not Available
NUR0013,Reginald Arnold,42,Male,10,Post Pregnancy,"Mitchell, Hunt and Cook Hospital",Rotational,387-423-1048,steven92@example.com,Chennai,Not Available
NUR0014,Max Roman,40,Male,34,Pregnancy,Aguirre Ltd Hospital,Day,+1-234-451-5102x65385,valeriebrewer@example.org,Bengaluru,Available
NUR0015,Henry Logan,48,Male,12,Post Surgery,Lee-Camacho Hospital,Night,(461)638-0378x10193,nwoodard@example.org,Mumbai,Not Available
NUR0016,Kelly Walker,45,Male,18,Post Surgery,"Clark, Taylor and Austin Hospital",Rotational,(279)753-9798,ywilliamson@example.net,Bengaluru,Not Available
NUR0017,Holly Cox,44,Male,21,Elderly Care,Young and Sons Hospital,Day,633.209.9098,whouse@example.org,Delhi,Not Available
NUR0018,Anthony Garcia,25,Female,25,Pregnancy,Chang Group Hospital,Day,001-401-580-3206x727,jennifer08@example.org,Chennai,Available
NUR0019,Kathy Atkins,49,Male,1,Elderly Care,"Williams, Fowler and Villarreal Hospital",Day,001-603-522-7838x173,kfrancis@example.net,Bengaluru,Not Available
NUR0020,Katie Cook,39,Female,12,Post Pregnancy,Roach-Garcia Hospital,Night,4765570648,xcasey@example.com,Mumbai,Not Available
NUR0021,Brent Diaz,50,Male,30,Pediatric Care,"Garrett, Parsons and Irwin Hospital",Rotational,001-304-730-9093x6680,glopez@example.com,Kolkata,Available
NUR0022,Kenneth Dunn,45,Male,26,Elderly Care,Soto-White Hospital,Day,+1-896-529-9542x0536,nathandixon@example.net,Chennai,Available
NUR0023,Mr. Michael Barker II,35,Female,30,Post Surgery,Harris-Dixon Hospital,Night,+1-851-545-6190,ulee@example.org,Mumbai,Available
NUR0024,Angela Spencer,38,Male,6,Pregnancy,Foster-Estes Hospital,Rotational,(948)446-6135x9176,james01@example.org,Bengaluru,Not Available
NUR0025,Rachel Gonzalez,24,Male,32,Elderly Care,Griffin Group Hospital,Day,(994)582-0531,uferguson@example.com,Mumbai,Not Available
